0me,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
C H Gayle,256,251,34,9120,175,42.02,17,57,150.34,64,0,36.33466135,188036.2816,20.82,5.274241655
B B McCullum,236,233,22,6671,158,31.61,7,32,137.12,96,14,28.63090129,93717.84666,17.5,4.971822301
L J Wright,246,227,24,5854,153,28.83,6,28,147.15,83,0,25.78854626,86122.545,17.13,4.935116855
D A Warner,220,219,22,6868,135,34.86,5,54,143.68,96,0,31.36073059,110581.5143,18.24,5.043682533
M Klinger,111,109,18,3412,126,37.49,5,19,125.62,34,0,31.30275229,52363.62586,15.13,4.719029711
V Kohli,204,192,38,6446,113,41.85,4,46,133.01,89,0,33.57291667,121996.9502,18.69,5.086348974
S K Rai0,242,228,37,6326,109,33.12,3,36,139,124,0,27.74561404,98915.60537,17.73,4.995264813
R G Sharma,234,223,38,6137,109,33.17,3,42,131.16,91,0,27.52017937,89652.82429,17.3,4.952563976
A B de Villiers,210,195,38,5156,133,32.84,3,32,144.3,151,16,26.44102564,84200.96133,17.03,4.92531705
K P Pietersen,159,154,23,4551,115,34.74,3,26,136.13,56,0,29.55194805,71107.74003,16.33,4.851916876
S R Watson,196,189,22,5014,124,30.02,3,30,139.08,59,0,26.52910053,69471.06313,16.23,4.841803945
D R Smith,255,248,22,5966,110,26.39,3,35,127.99,117,0,24.05645161,66303.60716,16.05,4.821537156
R E Levi,156,150,11,4034,117,29.02,3,27,143.55,41,0,26.89333333,55926.78013,15.38,4.747619816
Q de Kock,120,114,10,3531,126,33.95,3,18,135.49,69,20,30.97368421,54710.55394,15.29,4.738071112
A C Gilchrist,102,102,5,2622,109,27.03,3,13,140.28,74,22,25.70588235,31814.45358,13.36,4.502624469
U Chand,59,57,3,1188,125,22,3,2,118.8,38,1,20.84210526,10284.48849,10.07,4.012182696
B J Hodge,256,242,55,6997,106,37.41,2,46,131.72,96,0,28.91322314,116714.787,18.48,5.067125882
S E Marsh,135,133,18,4703,115,40.89,2,36,129.2,51,0,35.36090226,80702.44803,16.85,4.906886709
R N ten Doeschate,270,239,53,5485,121,29.48,2,23,136.81,106,0,22.9497908,79971.97021,16.82,4.902937796
M J Guptill,161,156,18,4854,120,35.17,2,31,128.54,98,0,31.11538462,72470.57246,16.41,4.860161692
